Year,UNIT_MEASURE,City/minicipality,Sex,Religion,Value
2013,Number,Nevesinje,M,Other,4
2013,Number,Nevesinje,F,Other,4
2013,Number,Novi Grad,Total,Other,134
2013,Number,Novi Grad,M,Other,60
2013,Number,Novi Grad,F,Other,74
2013,Number,Novo Goražde,Total,Other,19
2013,Number,Novo Goražde,M,Other,9
2013,Number,Novo Goražde,F,Other,10
2013,Number,Osmaci,Total,Other,41
2013,Number,Osmaci,M,Other,26
2013,Number,Osmaci,F,Other,15
2013,Number,Oštra Luka,Total,Other,23
2013,Number,Oštra Luka,M,Other,15
2013,Number,Oštra Luka,F,Other,8
2013,Number,Pale,Total,Other,53
2013,Number,Pale,M,Other,24
2013,Number,Pale,F,Other,29
2013,Number,Pelagićevo,Total,Other,5
2013,Number,Pelagićevo,M,Other,3
2013,Number,Pelagićevo,F,Other,2
2013,Number,Petrovac,Total,Other,0
2013,Number,Petrovac,M,Other,0
2013,Number,Petrovac,F,Other,0
2013,Number,Petrovo,Total,Other,20
2013,Number,Petrovo,M,Other,8
2013,Number,Petrovo,F,Other,12
2013,Number,Grad Prijedor,Total,Other,1506
2013,Number,Grad Prijedor,M,Other,722
2013,Number,Grad Prijedor,F,Other,784
2013,Number,Prnjavor,Total,Other,611
2013,Number,Prnjavor,M,Other,317
2013,Number,Prnjavor,F,Other,294
2013,Number,Ribnik,Total,Other,12
2013,Number,Ribnik,M,Other,8
2013,Number,Ribnik,F,Other,4
2013,Number,Rogatica,Total,Other,48
2013,Number,Rogatica,M,Other,21
2013,Number,Rogatica,F,Other,27
2013,Number,Rudo,Total,Other,0
2013,Number,Rudo,M,Other,0
2013,Number,Rudo,F,Other,0
2013,Number,Sokolac,Total,Other,30
2013,Number,Sokolac,M,Other,16
2013,Number,Sokolac,F,Other,14
2013,Number,Srbac,Total,Other,95
2013,Number,Srbac,M,Other,50
2013,Number,Srbac,F,Other,45
2013,Number,Srebrenica,Total,Other,72
2013,Number,Srebrenica,M,Other,36
2013,Number,Srebrenica,F,Other,36
2013,Number,Teslić,Total,Other,316
2013,Number,Teslić,M,Other,148
2013,Number,Teslić,F,Other,168
2013,Number,Grad Trebinje,Total,Other,95
2013,Number,Grad Trebinje,M,Other,42
2013,Number,Grad Trebinje,F,Other,53
2013,Number,Trnovo,Total,Other,17
2013,Number,Trnovo,M,Other,9
2013,Number,Trnovo,F,Other,8
2013,Number,Ugljevik,Total,Other,2
2013,Number,Ugljevik,M,Other,1
2013,Number,Ugljevik,F,Other,1
2013,Number,Foča,Total,Other,104
2013,Number,Foča,M,Other,53
2013,Number,Foča,F,Other,51
2013,Number,Han Pijesak,Total,Other,5
2013,Number,Han Pijesak,M,Other,3
2013,Number,Han Pijesak,F,Other,2
2013,Number,Čajniče,Total,Other,16
2013,Number,Čajniče,M,Other,7
2013,Number,Čajniče,F,Other,9
2013,Number,Čelinac,Total,Other,44
2013,Number,Čelinac,M,Other,20
2013,Number,Čelinac,F,Other,24
2013,Number,Šamac,Total,Other,144
2013,Number,Šamac,M,Other,68
2013,Number,Šamac,F,Other,76
2013,Number,Šekovići,Total,Other,1
2013,Number,Šekovići,M,Other,1
2013,Number,Šekovići,F,Other,0
2013,Number,Šipovo,Total,Other,32
2013,Number,Šipovo,M,Other,17
2013,Number,Šipovo,F,Other,15
2013,Number,Republika Srpska,Total,did not declare,8028
2013,Number,Republika Srpska,M,did not declare,3554
2013,Number,Republika Srpska,F,did not declare,4474
2013,Number,Grad Banja Luka,Total,did not declare,2684
2013,Number,Grad Banja Luka,M,did not declare,1186
2013,Number,Grad Banja Luka,F,did not declare,1498
2013,Number,Berkovići,Total,did not declare,1
2013,Number,Berkovići,M,did not declare,1
2013,Number,Berkovići,F,did not declare,0
2013,Number,Grad Bijeljina,Total,did not declare,716
2013,Number,Grad Bijeljina,M,did not declare,307
2013,Number,Grad Bijeljina,F,did not declare,409
2013,Number,Bileća,Total,did not declare,30
2013,Number,Bileća,M,did not declare,14
2013,Number,Bileća,F,did not declare,16
2013,Number,Bratunac,Total,did not declare,21
2013,Number,Bratunac,M,did not declare,9
2013,Number,Bratunac,F,did not declare,12
2013,Number,Brod,Total,did not declare,160
2013,Number,Brod,M,did not declare,60
2013,Number,Brod,F,did not declare,100
2013,Number,Višegrad,Total,did not declare,18
2013,Number,Višegrad,M,did not declare,9
2013,Number,Višegrad,F,did not declare,9
2013,Number,Vlasenica,Total,did not declare,16
2013,Number,Vlasenica,M,did not declare,8
2013,Number,Vlasenica,F,did not declare,8
2013,Number,Vukosavlje,Total,did not declare,33
2013,Number,Vukosavlje,M,did not declare,16
2013,Number,Vukosavlje,F,did not declare,17
2013,Number,Gacko,Total,did not declare,6
2013,Number,Gacko,M,did not declare,1
2013,Number,Gacko,F,did not declare,5
2013,Number,Grad Gradiška,Total,did not declare,375
2013,Number,Grad Gradiška,M,did not declare,155
2013,Number,Grad Gradiška,F,did not declare,220
2013,Number,Grad Derventa,Total,did not declare,256
2013,Number,Grad Derventa,M,did not declare,125
2013,Number,Grad Derventa,F,did not declare,131
2013,Number,Grad Doboj,Total,did not declare,526
2013,Number,Grad Doboj,M,did not declare,271
2013,Number,Grad Doboj,F,did not declare,255
2013,Number,Donji Žabar,Total,did not declare,6
2013,Number,Donji Žabar,M,did not declare,2
2013,Number,Donji Žabar,F,did not declare,4
2013,Number,Grad Zvornik,Total,did not declare,67
2013,Number,Grad Zvornik,M,did not declare,31
2013,Number,Grad Zvornik,F,did not declare,36
2013,Number,Istočna Ilidža,Total,did not declare,92
2013,Number,Istočna Ilidža,M,did not declare,41
2013,Number,Istočna Ilidža,F,did not declare,51
2013,Number,Istočni Drvar,Total,did not declare,0
2013,Number,Istočni Drvar,M,did not declare,0
2013,Number,Istočni Drvar,F,did not declare,0
2013,Number,Istočni Mostar,Total,did not declare,0
2013,Number,Istočni Mostar,M,did not declare,0
2013,Number,Istočni Mostar,F,did not declare,0
2013,Number,Istočni Stari Grad,Total,did not declare,6
2013,Number,Istočni Stari Grad,M,did not declare,5
2013,Number,Istočni Stari Grad,F,did not declare,1
2013,Number,Istočno Novo Sarajevo,Total,did not declare,56
2013,Number,Istočno Novo Sarajevo,M,did not declare,24
2013,Number,Istočno Novo Sarajevo,F,did not declare,32
2013,Number,Jezero,Total,did not declare,0
2013,Number,Jezero,M,did not declare,0
2013,Number,Jezero,F,did not declare,0
2013,Number,Kalinovik,Total,did not declare,5
2013,Number,Kalinovik,M,did not declare,4
2013,Number,Kalinovik,F,did not declare,1
2013,Number,Kneževo,Total,did not declare,4
2013,Number,Kneževo,M,did not declare,3
2013,Number,Kneževo,F,did not declare,1
2013,Number,Kozarska Dubica,Total,did not declare,178
2013,Number,Kozarska Dubica,M,did not declare,77
2013,Number,Kozarska Dubica,F,did not declare,101
2013,Number,Kostajnica,Total,did not declare,67
2013,Number,Kostajnica,M,did not declare,26
2013,Number,Kostajnica,F,did not declare,41
2013,Number,Kotor Varoš,Total,did not declare,107
2013,Number,Kotor Varoš,M,did not declare,45
2013,Number,Kotor Varoš,F,did not declare,62
2013,Number,Krupa Na Uni,Total,did not declare,0
2013,Number,Krupa Na Uni,M,did not declare,0
2013,Number,Krupa Na Uni,F,did not declare,0
2013,Number,Kupres,Total,did not declare,1
2013,Number,Kupres,M,did not declare,1
2013,Number,Kupres,F,did not declare,0
2013,Number,Laktaši,Total,did not declare,239
2013,Number,Laktaši,M,did not declare,112
2013,Number,Laktaši,F,did not declare,127
2013,Number,Lopare,Total,did not declare,22
2013,Number,Lopare,M,did not declare,6
2013,Number,Lopare,F,did not declare,16
2013,Number,Ljubinje,Total,did not declare,3
2013,Number,Ljubinje,M,did not declare,2
2013,Number,Ljubinje,F,did not declare,1
2013,Number,Milići,Total,did not declare,10
2013,Number,Milići,M,did not declare,3
2013,Number,Milići,F,did not declare,7
2013,Number,Modriča,Total,did not declare,151
2013,Number,Modriča,M,did not declare,64
2013,Number,Modriča,F,did not declare,87
2013,Number,Mrkonjić Grad,Total,did not declare,37
2013,Number,Mrkonjić Grad,M,did not declare,16
2013,Number,Mrkonjić Grad,F,did not declare,21
2013,Number,Nevesinje,Total,did not declare,14
2013,Number,Nevesinje,M,did not declare,6
2013,Number,Nevesinje,F,did not declare,8
2013,Number,Novi Grad,Total,did not declare,134
2013,Number,Novi Grad,M,did not declare,58
2013,Number,Novi Grad,F,did not declare,76
2013,Number,Novo Goražde,Total,did not declare,5
2013,Number,Novo Goražde,M,did not declare,3
2013,Number,Novo Goražde,F,did not declare,2
2013,Number,Osmaci,Total,did not declare,1
2013,Number,Osmaci,M,did not declare,1
2013,Number,Osmaci,F,did not declare,0
2013,Number,Oštra Luka,Total,did not declare,13
2013,Number,Oštra Luka,M,did not declare,5
2013,Number,Oštra Luka,F,did not declare,8
2013,Number,Pale,Total,did not declare,56
2013,Number,Pale,M,did not declare,22
2013,Number,Pale,F,did not declare,34
2013,Number,Pelagićevo,Total,did not declare,2
2013,Number,Pelagićevo,M,did not declare,0
2013,Number,Pelagićevo,F,did not declare,2
2013,Number,Petrovac,Total,did not declare,0
2013,Number,Petrovac,M,did not declare,0
2013,Number,Petrovac,F,did not declare,0
2013,Number,Petrovo,Total,did not declare,19
2013,Number,Petrovo,M,did not declare,9
2013,Number,Petrovo,F,did not declare,10
2013,Number,Grad Prijedor,Total,did not declare,784
2013,Number,Grad Prijedor,M,did not declare,325
2013,Number,Grad Prijedor,F,did not declare,459
2013,Number,Prnjavor,Total,did not declare,223
2013,Number,Prnjavor,M,did not declare,98
2013,Number,Prnjavor,F,did not declare,125
2013,Number,Ribnik,Total,did not declare,3
2013,Number,Ribnik,M,did not declare,1
2013,Number,Ribnik,F,did not declare,2
2013,Number,Rogatica,Total,did not declare,7
2013,Number,Rogatica,M,did not declare,4
2013,Number,Rogatica,F,did not declare,3
2013,Number,Rudo,Total,did not declare,3
2013,Number,Rudo,M,did not declare,2
2013,Number,Rudo,F,did not declare,1
2013,Number,Sokolac,Total,did not declare,20
2013,Number,Sokolac,M,did not declare,9
2013,Number,Sokolac,F,did not declare,11
2013,Number,Srbac,Total,did not declare,95
2013,Number,Srbac,M,did not declare,46
2013,Number,Srbac,F,did not declare,49
2013,Number,Srebrenica,Total,did not declare,22
2013,Number,Srebrenica,M,did not declare,10
2013,Number,Srebrenica,F,did not declare,12
2013,Number,Teslić,Total,did not declare,309
2013,Number,Teslić,M,did not declare,136
2013,Number,Teslić,F,did not declare,173
2013,Number,Grad Trebinje,Total,did not declare,170
2013,Number,Grad Trebinje,M,did not declare,75
2013,Number,Grad Trebinje,F,did not declare,95
2013,Number,Trnovo,Total,did not declare,4
2013,Number,Trnovo,M,did not declare,3
2013,Number,Trnovo,F,did not declare,1
2013,Number,Ugljevik,Total,did not declare,23
2013,Number,Ugljevik,M,did not declare,11
2013,Number,Ugljevik,F,did not declare,12
2013,Number,Foča,Total,did not declare,27
2013,Number,Foča,M,did not declare,13
2013,Number,Foča,F,did not declare,14
2013,Number,Han Pijesak,Total,did not declare,0
2013,Number,Han Pijesak,M,did not declare,0
2013,Number,Han Pijesak,F,did not declare,0
2013,Number,Čajniče,Total,did not declare,1
2013,Number,Čajniče,M,did not declare,1
2013,Number,Čajniče,F,did not declare,0
2013,Number,Čelinac,Total,did not declare,30
2013,Number,Čelinac,M,did not declare,15
2013,Number,Čelinac,F,did not declare,15
2013,Number,Šamac,Total,did not declare,147
2013,Number,Šamac,M,did not declare,64
2013,Number,Šamac,F,did not declare,83
2013,Number,Šekovići,Total,did not declare,4
2013,Number,Šekovići,M,did not declare,3
2013,Number,Šekovići,F,did not declare,1
2013,Number,Šipovo,Total,did not declare,19
2013,Number,Šipovo,M,did not declare,10
2013,Number,Šipovo,F,did not declare,9
2013,Number,Republika Srpska,Total,Unknown,2065
2013,Number,Republika Srpska,M,Unknown,963
2013,Number,Republika Srpska,F,Unknown,1102
2013,Number,Grad Banja Luka,Total,Unknown,357
2013,Number,Grad Banja Luka,M,Unknown,173
2013,Number,Grad Banja Luka,F,Unknown,184
2013,Number,Berkovići,Total,Unknown,1
2013,Number,Berkovići,M,Unknown,0
2013,Number,Berkovići,F,Unknown,1
2013,Number,Grad Bijeljina,Total,Unknown,102
2013,Number,Grad Bijeljina,M,Unknown,44
2013,Number,Grad Bijeljina,F,Unknown,58
2013,Number,Bileća,Total,Unknown,12
2013,Number,Bileća,M,Unknown,4
2013,Number,Bileća,F,Unknown,8
2013,Number,Bratunac,Total,Unknown,40
2013,Number,Bratunac,M,Unknown,16
2013,Number,Bratunac,F,Unknown,24
2013,Number,Brod,Total,Unknown,32
2013,Number,Brod,M,Unknown,12
2013,Number,Brod,F,Unknown,20
2013,Number,Višegrad,Total,Unknown,179
2013,Number,Višegrad,M,Unknown,4
2013,Number,Višegrad,F,Unknown,175
2013,Number,Vlasenica,Total,Unknown,21
2013,Number,Vlasenica,M,Unknown,10
2013,Number,Vlasenica,F,Unknown,11
2013,Number,Vukosavlje,Total,Unknown,14
2013,Number,Vukosavlje,M,Unknown,3
2013,Number,Vukosavlje,F,Unknown,11
2013,Number,Gacko,Total,Unknown,7
2013,Number,Gacko,M,Unknown,2
2013,Number,Gacko,F,Unknown,5
2013,Number,Grad Gradiška,Total,Unknown,46
2013,Number,Grad Gradiška,M,Unknown,21
2013,Number,Grad Gradiška,F,Unknown,25
2013,Number,Grad Derventa,Total,Unknown,47
2013,Number,Grad Derventa,M,Unknown,21
2013,Number,Grad Derventa,F,Unknown,26
2013,Number,Grad Doboj,Total,Unknown,160
2013,Number,Grad Doboj,M,Unknown,64
2013,Number,Grad Doboj,F,Unknown,96
2013,Number,Donji Žabar,Total,Unknown,2
2013,Number,Donji Žabar,M,Unknown,1
2013,Number,Donji Žabar,F,Unknown,1
2013,Number,Grad Zvornik,Total,Unknown,98
2013,Number,Grad Zvornik,M,Unknown,39
2013,Number,Grad Zvornik,F,Unknown,59
2013,Number,Istočna Ilidža,Total,Unknown,10
2013,Number,Istočna Ilidža,M,Unknown,5
2013,Number,Istočna Ilidža,F,Unknown,5
2013,Number,Istočni Drvar,Total,Unknown,0
2013,Number,Istočni Drvar,M,Unknown,0
2013,Number,Istočni Drvar,F,Unknown,0
2013,Number,Istočni Mostar,Total,Unknown,2
2013,Number,Istočni Mostar,M,Unknown,1
2013,Number,Istočni Mostar,F,Unknown,1
2013,Number,Istočni Stari Grad,Total,Unknown,2
2013,Number,Istočni Stari Grad,M,Unknown,1
2013,Number,Istočni Stari Grad,F,Unknown,1
2013,Number,Istočno Novo Sarajevo,Total,Unknown,3
2013,Number,Istočno Novo Sarajevo,M,Unknown,0
2013,Number,Istočno Novo Sarajevo,F,Unknown,3
2013,Number,Jezero,Total,Unknown,2
2013,Number,Jezero,M,Unknown,1
2013,Number,Jezero,F,Unknown,1
2013,Number,Kalinovik,Total,Unknown,0
2013,Number,Kalinovik,M,Unknown,0
2013,Number,Kalinovik,F,Unknown,0
2013,Number,Kneževo,Total,Unknown,5
2013,Number,Kneževo,M,Unknown,3
2013,Number,Kneževo,F,Unknown,2
2013,Number,Kozarska Dubica,Total,Unknown,18
2013,Number,Kozarska Dubica,M,Unknown,11
2013,Number,Kozarska Dubica,F,Unknown,7
2013,Number,Kostajnica,Total,Unknown,1
2013,Number,Kostajnica,M,Unknown,1
2013,Number,Kostajnica,F,Unknown,0
2013,Number,Kotor Varoš,Total,Unknown,21
2013,Number,Kotor Varoš,M,Unknown,15
2013,Number,Kotor Varoš,F,Unknown,6
2013,Number,Krupa Na Uni,Total,Unknown,1
2013,Number,Krupa Na Uni,M,Unknown,0
2013,Number,Krupa Na Uni,F,Unknown,1
2013,Number,Kupres,Total,Unknown,0
2013,Number,Kupres,M,Unknown,0
2013,Number,Kupres,F,Unknown,0
2013,Number,Laktaši,Total,Unknown,48
2013,Number,Laktaši,M,Unknown,21
2013,Number,Laktaši,F,Unknown,27
2013,Number,Lopare,Total,Unknown,13
2013,Number,Lopare,M,Unknown,6
2013,Number,Lopare,F,Unknown,7
2013,Number,Ljubinje,Total,Unknown,2
2013,Number,Ljubinje,M,Unknown,1
2013,Number,Ljubinje,F,Unknown,1
2013,Number,Milići,Total,Unknown,8
2013,Number,Milići,M,Unknown,3
2013,Number,Milići,F,Unknown,5
2013,Number,Modriča,Total,Unknown,125
2013,Number,Modriča,M,Unknown,66
2013,Number,Modriča,F,Unknown,59
2013,Number,Mrkonjić Grad,Total,Unknown,13
2013,Number,Mrkonjić Grad,M,Unknown,7
2013,Number,Mrkonjić Grad,F,Unknown,6
2013,Number,Nevesinje,Total,Unknown,7
2013,Number,Nevesinje,M,Unknown,2
2013,Number,Nevesinje,F,Unknown,5
2013,Number,Novi Grad,Total,Unknown,26
2013,Number,Novi Grad,M,Unknown,14
2013,Number,Novi Grad,F,Unknown,12
2013,Number,Novo Goražde,Total,Unknown,7
2013,Number,Novo Goražde,M,Unknown,3
2013,Number,Novo Goražde,F,Unknown,4
2013,Number,Osmaci,Total,Unknown,4
2013,Number,Osmaci,M,Unknown,2
2013,Number,Osmaci,F,Unknown,2
2013,Number,Oštra Luka,Total,Unknown,3
2013,Number,Oštra Luka,M,Unknown,2
2013,Number,Oštra Luka,F,Unknown,1
2013,Number,Pale,Total,Unknown,11
2013,Number,Pale,M,Unknown,7
2013,Number,Pale,F,Unknown,4
2013,Number,Pelagićevo,Total,Unknown,5
2013,Number,Pelagićevo,M,Unknown,1
2013,Number,Pelagićevo,F,Unknown,4
2013,Number,Petrovac,Total,Unknown,0
2013,Number,Petrovac,M,Unknown,0
2013,Number,Petrovac,F,Unknown,0
2013,Number,Petrovo,Total,Unknown,4
2013,Number,Petrovo,M,Unknown,2
2013,Number,Petrovo,F,Unknown,2
2013,Number,Grad Prijedor,Total,Unknown,374
2013,Number,Grad Prijedor,M,Unknown,257
2013,Number,Grad Prijedor,F,Unknown,117
2013,Number,Prnjavor,Total,Unknown,31
2013,Number,Prnjavor,M,Unknown,13
2013,Number,Prnjavor,F,Unknown,18
2013,Number,Ribnik,Total,Unknown,2
2013,Number,Ribnik,M,Unknown,2
2013,Number,Ribnik,F,Unknown,0
2013,Number,Rogatica,Total,Unknown,4
2013,Number,Rogatica,M,Unknown,3
2013,Number,Rogatica,F,Unknown,1
2013,Number,Rudo,Total,Unknown,4
2013,Number,Rudo,M,Unknown,0
2013,Number,Rudo,F,Unknown,4
2013,Number,Sokolac,Total,Unknown,14
2013,Number,Sokolac,M,Unknown,3
2013,Number,Sokolac,F,Unknown,11
2013,Number,Srbac,Total,Unknown,28
2013,Number,Srbac,M,Unknown,13
2013,Number,Srbac,F,Unknown,15
2013,Number,Srebrenica,Total,Unknown,20
2013,Number,Srebrenica,M,Unknown,14
2013,Number,Srebrenica,F,Unknown,6
2013,Number,Teslić,Total,Unknown,43
2013,Number,Teslić,M,Unknown,21
2013,Number,Teslić,F,Unknown,22
2013,Number,Grad Trebinje,Total,Unknown,14
2013,Number,Grad Trebinje,M,Unknown,8
2013,Number,Grad Trebinje,F,Unknown,6
2013,Number,Trnovo,Total,Unknown,0
2013,Number,Trnovo,M,Unknown,0
2013,Number,Trnovo,F,Unknown,0
2013,Number,Ugljevik,Total,Unknown,13
2013,Number,Ugljevik,M,Unknown,11
2013,Number,Ugljevik,F,Unknown,2
2013,Number,Foča,Total,Unknown,12
2013,Number,Foča,M,Unknown,6
2013,Number,Foča,F,Unknown,6
2013,Number,Han Pijesak,Total,Unknown,0
2013,Number,Han Pijesak,M,Unknown,0
2013,Number,Han Pijesak,F,Unknown,0
2013,Number,Čajniče,Total,Unknown,4
2013,Number,Čajniče,M,Unknown,1
2013,Number,Čajniče,F,Unknown,3
2013,Number,Čelinac,Total,Unknown,10
2013,Number,Čelinac,M,Unknown,4
2013,Number,Čelinac,F,Unknown,6
2013,Number,Šamac,Total,Unknown,18
2013,Number,Šamac,M,Unknown,10
2013,Number,Šamac,F,Unknown,8
2013,Number,Šekovići,Total,Unknown,9
2013,Number,Šekovići,M,Unknown,4
2013,Number,Šekovići,F,Unknown,5
2013,Number,Šipovo,Total,Unknown,6
2013,Number,Šipovo,M,Unknown,4
2013,Number,Šipovo,F,Unknown,2
