Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2003,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,109
2004,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,92
2005,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,441
2006,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,484
2007,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,442
2008,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,454
2009,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,530
2010,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,402
2011,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,397
2012,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,350
2013,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,459
2014,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,501
2015,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,400
2016,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,378
2017,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,452
2018,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,458
2019,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,343
2020,Number,F,(E00-E90) Endocrine metabolic and nutritional diseases,485
2003,Number,F,(F00-F99) Mental and behavioural disorders,9
2004,Number,F,(F00-F99) Mental and behavioural disorders,12
2005,Number,F,(F00-F99) Mental and behavioural disorders,16
2006,Number,F,(F00-F99) Mental and behavioural disorders,15
2007,Number,F,(F00-F99) Mental and behavioural disorders,20
2008,Number,F,(F00-F99) Mental and behavioural disorders,19
2009,Number,F,(F00-F99) Mental and behavioural disorders,30
2010,Number,F,(F00-F99) Mental and behavioural disorders,11
2011,Number,F,(F00-F99) Mental and behavioural disorders,14
2012,Number,F,(F00-F99) Mental and behavioural disorders,12
2013,Number,F,(F00-F99) Mental and behavioural disorders,31
2014,Number,F,(F00-F99) Mental and behavioural disorders,21
2015,Number,F,(F00-F99) Mental and behavioural disorders,28
2016,Number,F,(F00-F99) Mental and behavioural disorders,26
2017,Number,F,(F00-F99) Mental and behavioural disorders,43
2018,Number,F,(F00-F99) Mental and behavioural disorders,30
2019,Number,F,(F00-F99) Mental and behavioural disorders,22
2020,Number,F,(F00-F99) Mental and behavioural disorders,29
2003,Number,F,(G00-G99) Diseases of the nervous system,26
2004,Number,F,(G00-G99) Diseases of the nervous system,38
2005,Number,F,(G00-G99) Diseases of the nervous system,84
2006,Number,F,(G00-G99) Diseases of the nervous system,73
2007,Number,F,(G00-G99) Diseases of the nervous system,70
2008,Number,F,(G00-G99) Diseases of the nervous system,55
2009,Number,F,(G00-G99) Diseases of the nervous system,55
2010,Number,F,(G00-G99) Diseases of the nervous system,76
2011,Number,F,(G00-G99) Diseases of the nervous system,97
2012,Number,F,(G00-G99) Diseases of the nervous system,102
2013,Number,F,(G00-G99) Diseases of the nervous system,87
2014,Number,F,(G00-G99) Diseases of the nervous system,89
2015,Number,F,(G00-G99) Diseases of the nervous system,106
2016,Number,F,(G00-G99) Diseases of the nervous system,75
2017,Number,F,(G00-G99) Diseases of the nervous system,95
2018,Number,F,(G00-G99) Diseases of the nervous system,87
2019,Number,F,(G00-G99) Diseases of the nervous system,81
2020,Number,F,(G00-G99) Diseases of the nervous system,97
2003,Number,F,(H00-H59) Diseases of the eye,0
2004,Number,F,(H00-H59) Diseases of the eye,0
2005,Number,F,(H00-H59) Diseases of the eye,0
2006,Number,F,(H00-H59) Diseases of the eye,0
2007,Number,F,(H00-H59) Diseases of the eye,0
2008,Number,F,(H00-H59) Diseases of the eye,0
2009,Number,F,(H00-H59) Diseases of the eye,0
2010,Number,F,(H00-H59) Diseases of the eye,0
2011,Number,F,(H00-H59) Diseases of the eye,0
2012,Number,F,(H00-H59) Diseases of the eye,0
2013,Number,F,(H00-H59) Diseases of the eye,0
2014,Number,F,(H00-H59) Diseases of the eye,0
2015,Number,F,(H00-H59) Diseases of the eye,0
2016,Number,F,(H00-H59) Diseases of the eye,0
2017,Number,F,(H00-H59) Diseases of the eye,0
2018,Number,F,(H00-H59) Diseases of the eye,0
2019,Number,F,(H00-H59) Diseases of the eye,0
2020,Number,F,(H00-H59) Diseases of the eye,0
2003,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2004,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2005,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2006,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2007,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2008,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2009,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2010,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2011,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2012,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2013,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2014,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2015,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2016,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2017,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2018,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2019,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2020,Number,F,(H60–H93) Diseases of the ear and adnexa,0
2003,Number,F,(I00-I99) Diseases of the circulatory system,3748
2004,Number,F,(I00-I99) Diseases of the circulatory system,3957
2005,Number,F,(I00-I99) Diseases of the circulatory system,3677
2006,Number,F,(I00-I99) Diseases of the circulatory system,3458
2007,Number,F,(I00-I99) Diseases of the circulatory system,3864
2008,Number,F,(I00-I99) Diseases of the circulatory system,3756
2009,Number,F,(I00-I99) Diseases of the circulatory system,3743
2010,Number,F,(I00-I99) Diseases of the circulatory system,3926
2011,Number,F,(I00-I99) Diseases of the circulatory system,4009
2012,Number,F,(I00-I99) Diseases of the circulatory system,4109
2013,Number,F,(I00-I99) Diseases of the circulatory system,3625
2014,Number,F,(I00-I99) Diseases of the circulatory system,3635
2015,Number,F,(I00-I99) Diseases of the circulatory system,3964
2016,Number,F,(I00-I99) Diseases of the circulatory system,3743
2017,Number,F,(I00-I99) Diseases of the circulatory system,3960
2018,Number,F,(I00-I99) Diseases of the circulatory system,3905
2019,Number,F,(I00-I99) Diseases of the circulatory system,4033
2020,Number,F,(I00-I99) Diseases of the circulatory system,4150
2003,Number,F,(J00-J99) Diseases of the respiratory system,120
2004,Number,F,(J00-J99) Diseases of the respiratory system,134
2005,Number,F,(J00-J99) Diseases of the respiratory system,220
2006,Number,F,(J00-J99) Diseases of the respiratory system,228
2007,Number,F,(J00-J99) Diseases of the respiratory system,211
2008,Number,F,(J00-J99) Diseases of the respiratory system,173
2009,Number,F,(J00-J99) Diseases of the respiratory system,176
2010,Number,F,(J00-J99) Diseases of the respiratory system,173
2011,Number,F,(J00-J99) Diseases of the respiratory system,233
2012,Number,F,(J00-J99) Diseases of the respiratory system,161
2013,Number,F,(J00-J99) Diseases of the respiratory system,222
2014,Number,F,(J00-J99) Diseases of the respiratory system,209
2015,Number,F,(J00-J99) Diseases of the respiratory system,248
2016,Number,F,(J00-J99) Diseases of the respiratory system,204
2017,Number,F,(J00-J99) Diseases of the respiratory system,243
2018,Number,F,(J00-J99) Diseases of the respiratory system,282
2019,Number,F,(J00-J99) Diseases of the respiratory system,258
2020,Number,F,(J00-J99) Diseases of the respiratory system,254
2003,Number,F,(K00-K93) Diseases of the digestive system,136
2004,Number,F,(K00-K93) Diseases of the digestive system,141
2005,Number,F,(K00-K93) Diseases of the digestive system,124
2006,Number,F,(K00-K93) Diseases of the digestive system,146
2007,Number,F,(K00-K93) Diseases of the digestive system,147
2008,Number,F,(K00-K93) Diseases of the digestive system,131
2009,Number,F,(K00-K93) Diseases of the digestive system,148
2010,Number,F,(K00-K93) Diseases of the digestive system,156
2011,Number,F,(K00-K93) Diseases of the digestive system,136
2012,Number,F,(K00-K93) Diseases of the digestive system,145
2013,Number,F,(K00-K93) Diseases of the digestive system,183
2014,Number,F,(K00-K93) Diseases of the digestive system,188
2015,Number,F,(K00-K93) Diseases of the digestive system,191
2016,Number,F,(K00-K93) Diseases of the digestive system,185
2017,Number,F,(K00-K93) Diseases of the digestive system,184
2018,Number,F,(K00-K93) Diseases of the digestive system,191
2019,Number,F,(K00-K93) Diseases of the digestive system,180
2020,Number,F,(K00-K93) Diseases of the digestive system,169
2003,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2004,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,3
2005,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2006,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2007,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,2
2008,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,2
2009,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,2
2010,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,2
2011,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2012,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,1
2013,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,11
2014,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,9
2015,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,15
2016,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,14
2017,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,19
2018,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,10
2019,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,16
2020,Number,F,(L00-L99) Diseases of the skin and subcutaneous tissue,17
2003,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,3
2004,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,2
2005,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,7
2006,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,9
2007,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,9
2008,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,14
2009,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,11
2010,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,8
2011,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,14
2012,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,12
2013,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,19
2014,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,14
2015,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,18
2016,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,13
2017,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,9
2018,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,17
2019,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,9
2020,Number,F,(M00-M99) Diseases of the musculoskeletal system and connective tissue,21
2003,Number,F,(N00-N99) Diseases of the genitourinary system,99
2004,Number,F,(N00-N99) Diseases of the genitourinary system,92
2005,Number,F,(N00-N99) Diseases of the genitourinary system,97
2006,Number,F,(N00-N99) Diseases of the genitourinary system,114
2007,Number,F,(N00-N99) Diseases of the genitourinary system,112
2008,Number,F,(N00-N99) Diseases of the genitourinary system,113
2009,Number,F,(N00-N99) Diseases of the genitourinary system,118
2010,Number,F,(N00-N99) Diseases of the genitourinary system,115
2011,Number,F,(N00-N99) Diseases of the genitourinary system,74
2012,Number,F,(N00-N99) Diseases of the genitourinary system,120
2013,Number,F,(N00-N99) Diseases of the genitourinary system,92
2014,Number,F,(N00-N99) Diseases of the genitourinary system,77
2015,Number,F,(N00-N99) Diseases of the genitourinary system,86
2016,Number,F,(N00-N99) Diseases of the genitourinary system,101
2017,Number,F,(N00-N99) Diseases of the genitourinary system,97
2018,Number,F,(N00-N99) Diseases of the genitourinary system,103
2019,Number,F,(N00-N99) Diseases of the genitourinary system,91
2020,Number,F,(N00-N99) Diseases of the genitourinary system,108
2003,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2004,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2005,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",2
2006,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",2
2007,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2008,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2009,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2010,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2011,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2012,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2013,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2014,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2015,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2016,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2017,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2018,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",1
2019,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2020,Number,F,"(O00-O99) Pregnancy, childbirth and the puerperium",3
2003,Number,F,(P00-P96) Certain conditions originating in the perinatal period,21
2004,Number,F,(P00-P96) Certain conditions originating in the perinatal period,10
2005,Number,F,(P00-P96) Certain conditions originating in the perinatal period,10
2006,Number,F,(P00-P96) Certain conditions originating in the perinatal period,12
2007,Number,F,(P00-P96) Certain conditions originating in the perinatal period,12
2008,Number,F,(P00-P96) Certain conditions originating in the perinatal period,8
2009,Number,F,(P00-P96) Certain conditions originating in the perinatal period,12
2010,Number,F,(P00-P96) Certain conditions originating in the perinatal period,16
2011,Number,F,(P00-P96) Certain conditions originating in the perinatal period,16
2012,Number,F,(P00-P96) Certain conditions originating in the perinatal period,11
2013,Number,F,(P00-P96) Certain conditions originating in the perinatal period,8
2014,Number,F,(P00-P96) Certain conditions originating in the perinatal period,9
2015,Number,F,(P00-P96) Certain conditions originating in the perinatal period,8
2016,Number,F,(P00-P96) Certain conditions originating in the perinatal period,5
2017,Number,F,(P00-P96) Certain conditions originating in the perinatal period,10
2018,Number,F,(P00-P96) Certain conditions originating in the perinatal period,7
2019,Number,F,(P00-P96) Certain conditions originating in the perinatal period,5
2020,Number,F,(P00-P96) Certain conditions originating in the perinatal period,18
2003,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2004,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2005,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",8
2006,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2007,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",6
2008,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",10
2009,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",13
2010,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2011,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2012,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2013,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2014,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",7
2015,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",4
2016,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2017,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2018,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2019,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",4
2020,Number,F,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2003,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",791
2004,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",736
2005,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",590
2006,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",573
2007,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",650
2008,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",449
2009,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",468
2010,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",431
2011,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",379
2012,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",335
2013,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",588
2014,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",727
2015,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",776
2016,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",600
2017,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",715
2018,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",806
2019,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",913
2020,Number,F,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",765
2003,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",136
2004,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",141
2005,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",155
2006,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",149
2007,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",146
2008,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",133
2009,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",157
2010,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",106
2011,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",118
2012,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",118
2013,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",127
2014,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",120
2015,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",142
2016,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",118
2017,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",125
2018,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",112
2019,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",90
2020,Number,F,"(S00-T98) Injuries, poisoning and consequences of external causes",101
2003,Number,F,(U00-U85) Special purpose codes,0
2004,Number,F,(U00-U85) Special purpose codes,0
2005,Number,F,(U00-U85) Special purpose codes,0
2006,Number,F,(U00-U85) Special purpose codes,0
2007,Number,F,(U00-U85) Special purpose codes,0
2008,Number,F,(U00-U85) Special purpose codes,0
2009,Number,F,(U00-U85) Special purpose codes,0
2010,Number,F,(U00-U85) Special purpose codes,0
2011,Number,F,(U00-U85) Special purpose codes,0
2012,Number,F,(U00-U85) Special purpose codes,0
2013,Number,F,(U00-U85) Special purpose codes,0
2014,Number,F,(U00-U85) Special purpose codes,0
2015,Number,F,(U00-U85) Special purpose codes,0
2016,Number,F,(U00-U85) Special purpose codes,0
2017,Number,F,(U00-U85) Special purpose codes,0
2018,Number,F,(U00-U85) Special purpose codes,0
2019,Number,F,(U00-U85) Special purpose codes,0
2020,Number,F,(U00-U85) Special purpose codes,562
